Location,cv_cof
AL,-0.33474625
AK,-0.3455249
AZ,-0.34670912
AR,-0.35306305
CA,-0.5192315
CO,-0.39707974
CT,-0.51978246
DE,-0.45079629
DC,-0.57349077
FL,-0.36165083
GA,-0.39301346
HI,-0.50895677
ID,-0.26537836
IL,-0.48603207
IN,-0.36776593
IA,-0.24250754
KS,-0.32798389
KY,-0.31774452
LA,-0.32505003
ME,-0.39169598
MD,-0.5538202
MA,-0.58479058
MI,-0.41335416
MN,-0.4101488
MS,-0.30999833
MO,-0.37464858
MT,-0.30293318
NE,-0.27056042
NV,-0.3758737
NH,-0.4578265
NJ,-0.4627662
NM,-0.42364063
NY,-0.51124858
NC,-0.39861122
ND,-0.25633567
OH,-0.36221252
OK,-0.32234623
OR,-0.36987167
PA,-0.43139124
RI,-0.48973794
SC,-0.34985541
SD,-0.309471
TN,-0.28322843
TX,-0.39978391
UT,-0.34417254
VT,-0.54119914
VA,-0.49017956
WA,-0.43943162
WV,-0.33117686
WI,-0.35455292
WY,-0.2395805
