,Location,C1,C2,C3,C4,C5,C6,C7,H6,V4,set_date,announcement
0,US_UT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-07-29,2021-07-09
0,US_LA,2021-09-20 00:00:00,NaT,2021-10-05 00:00:00,NaT,NaT,NaT,NaT,2021-06-05 00:00:00,2021-07-30 00:00:00,2021-06-05,2021-05-16
0,US_PA,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-07-29,2021-07-09
0,US_HI,NaT,NaT,NaT,NaT,NaT,NaT,2021-05-11 00:00:00,NaT,NaT,2021-05-11,2021-04-21
0,US_IA,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-07-29,2021-07-09
0,US_NM,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-05-14 00:00:00,NaT,2021-05-14,2021-04-24
0,US_NH,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-07-29,2021-07-09
0,US_MS,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-07-29,2021-07-09
0,US_FL,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-07-29,2021-07-09
0,US_MA,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-07-29,2021-07-09
0,US_SC,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-07-29,2021-07-09
0,US_WV,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-05-14 00:00:00,NaT,2021-05-14,2021-04-24
0,US_SD,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-07-29,2021-07-09
0,US_AL,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-07-29,2021-07-09
0,US_VT,2021-08-23 00:00:00,NaT,NaT,2021-06-01 00:00:00,NaT,NaT,2021-04-09 00:00:00,2021-06-01 00:00:00,NaT,2021-04-09,2021-03-20
0,US_NE,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-07-29,2021-07-09
0,US_OR,NaT,NaT,NaT,NaT,NaT,NaT,2021-03-30 00:00:00,NaT,2021-10-17 00:00:00,2021-03-30,2021-03-10
0,US_KY,NaT,NaT,NaT,NaT,NaT,NaT,NaT,2021-06-11 00:00:00,NaT,2021-06-11,2021-05-22
